1:4,4,7,4,4,8,1,5,2,1,2,6,9,9,6,4,8,2,7,8,2,3,2,9,7,9,3,9,6,2
2:7,2,2,1,6,4,1,6,6,1,7,1,3,8,7,4,3,6,8,8,9,7,2,2,2,7,5,6,8,3
3:5,2,4,2,8,2,6,7,8,2,6,3,5,9,7,9,5,7,9,3,9,4,3,8,9,3,4,3,6,8
4:4,7,3,1,5,1,5,6,7,5,7,1,7,2,2,2,9,7,8,8,7,8,5,2,2,6,1,2,2,9
5:7,6,8,2,8,2,6,4,7,5,8,3,5,9,5,7,2,1,1,6,5,9,6,7,4,5,4,1,9,8
6:3,4,2,3,5,6,8,1,8,3,7,4,5,5,5,7,4,2,7,6,5,4,3,5,4,8,4,6,6,4
7:2,5,7,1,9,5,9,2,7,7,1,9,6,6,3,9,5,8,9,3,2,9,9,5,1,3,7,4,5,6
8:5,1,9,5,6,9,4,2,8,1,6,7,7,6,2,1,8,7,8,5,3,1,7,7,5,2,7,6,4,1
9:1,4,8,6,4,6,4,3,7,9,1,1,6,2,9,9,9,5,6,8,7,4,9,2,8,5,2,3,3,5
10:1,9,5,9,3,2,2,7,1,8,8,6,6,9,6,6,8,2,4,6,3,5,7,9,9,1,4,2,5,9
11:6,3,4,5,9,5,4,3,7,1,6,4,1,2,9,1,5,7,4,9,5,1,9,5,4,8,6,8,8,3
12:2,9,3,2,7,8,9,7,2,4,8,4,6,4,6,7,9,5,9,5,7,7,5,2,9,9,6,3,6,6
13:7,2,2,1,6,4,1,6,6,1,7,1,3,8,7,4,3,6,8,8,9,7,2,2,2,7,5,6,8,6
14:5,9,4,1,8,8,7,6,9,1,6,3,5,1,9,6,3,9,4,7,1,5,5,2,4,7,9,4,9,6
15:9,5,4,6,4,3,3,7,6,2,5,3,5,9,8,8,4,5,3,9,9,7,7,2,2,4,8,6,2,3
16:6,2,8,8,2,2,4,3,3,9,6,8,3,7,6,8,4,8,9,1,8,1,2,2,7,5,7,8,7,2
17:3,4,6,5,6,8,9,9,6,8,5,3,4,7,4,1,3,5,5,1,4,4,7,2,5,6,7,8,1,2
18:4,6,8,3,4,5,2,2,1,8,9,9,9,1,4,7,4,9,7,4,9,5,4,6,2,7,4,5,9,2
19:6,2,9,1,8,7,1,2,7,7,4,1,3,5,5,1,9,9,3,8,3,5,6,2,3,6,8,7,8,7
20:6,5,8,7,7,8,8,6,2,9,4,5,2,7,3,3,1,4,4,2,5,9,5,7,2,6,5,7,1,3
